X,Y,Z
-0.5230387,,0.08162478,-2.221168E-08
-0.5252374,,0.08000001,-2.244451E-08
-0.5275434,,0.07999995,-2.267734E-08
-0.5298223,,0.08000001,-2.291017E-08
-0.532046,,0.08000007,-2.3143E-08
-0.5342295,,0.08000001,-2.337583E-08
-0.5363022,,0.07999995,-2.360866E-08
-0.5384327,,0.08000001,-2.384149E-08
-0.5404999,,0.08000007,-2.407432E-08
-0.5427449,,0.07999989,-2.430716E-08
-0.5449466,,0.08000007,-2.453999E-08
-0.5471905,,0.07999992,-2.477282E-08
-0.5493049,,0.0800001,-2.488923E-08
-0.5514906,,0.08000004,-2.500565E-08
-0.5535698,,0.07999998,-2.512206E-08
-0.5556331,,0.07999992,-2.523848E-08
-0.5576343,,0.0800001,-2.529669E-08
-0.5597211,,0.08000004,-2.54131E-08
-0.5618106,,0.07999998,-2.547131E-08
-0.5638863,,0.08000004,-2.552952E-08
-0.5658898,,0.07999998,-2.558772E-08
-0.5679976,,0.07999992,-2.564593E-08
-0.5700474,,0.07999998,-2.570414E-08
-0.5720996,,0.08000004,-2.576235E-08
-0.5741504,,0.0800001,-2.587876E-08
-0.5762192,,0.07999992,-2.599518E-08
-0.5783278,,0.07999998,-2.611159E-08
-0.5804931,,0.07999992,-2.622801E-08
-0.5827058,,0.07999998,-2.634442E-08
-0.5849025,,0.07999992,-2.646084E-08
-0.5871189,,0.07999998,-2.669367E-08
-0.5894051,,0.08000004,-2.69265E-08
-0.59167,,0.07999998,-2.715933E-08
-0.5938981,,0.07999992,-2.739216E-08
-0.5960886,,0.07999998,-2.762499E-08
-0.5982744,,0.07999992,-2.785782E-08
-0.6001716,,0.07999998,-2.809065E-08
-0.6020967,,0.08000004,-2.832348E-08
-0.6040701,,0.07999998,-2.855631E-08
-0.6060157,,0.08000004,-2.878915E-08
-0.6080002,,0.07999998,-2.902198E-08
-0.6099746,,0.07999992,-2.925481E-08
-0.6119554,,0.07999998,-2.948764E-08
-0.6142471,,0.08000004,-2.99533E-08
-0.616457,,0.07999998,-3.018613E-08
-0.6186636,,0.07999992,-3.065179E-08
-0.620881,,0.07999998,-3.111745E-08
-0.6231512,,0.08000004,-3.158311E-08
-0.6253937,,0.0800001,-3.204877E-08
-0.6276502,,0.08000004,-3.251444E-08
-0.6299307,,0.07999998,-3.29801E-08
-0.6321602,,0.08000004,-3.344576E-08
-0.6344022,,0.0800001,-3.391142E-08
-0.6367168,,0.08000004,-3.437708E-08
-0.6390368,,0.07999989,-3.484274E-08
-0.6415333,,0.07999992,-3.577406E-08
-0.6439927,,0.0800001,-3.670539E-08
-0.6462839,,0.07999998,-3.763671E-08
-0.6486532,,0.08000004,-3.856803E-08
-0.6508684,,0.0800001,-3.949935E-08
