X,Y,Z
-0.2421192,,0.08,-3.006426E-08
-0.2445677,,0.07999994,-3.052992E-08
-0.246967,,0.08,-3.099558E-08
-0.2492929,,0.07999994,-3.146124E-08
-0.2515675,,0.08,-3.19269E-08
-0.253799,,0.07999994,-3.239256E-08
-0.2561821,,0.08,-3.285822E-08
-0.2582114,,0.08000006,-3.332389E-08
-0.2604862,,0.08,-3.378955E-08
-0.2627652,,0.08000006,-3.425521E-08
-0.2650331,,0.08,-3.472087E-08
-0.2673865,,0.08000006,-3.518653E-08
-0.269537,,0.08,-3.611785E-08
-0.2717349,,0.07999985,-3.704918E-08
-0.2739656,,0.07999991,-3.79805E-08
-0.2761114,,0.07999997,-3.891182E-08
-0.2786277,,0.08000003,-3.984314E-08
-0.2811691,,0.07999991,-4.077447E-08
-0.2835886,,0.08000009,-4.170579E-08
-0.2860738,,0.08000003,-4.263711E-08
-0.2886051,,0.07999997,-4.356843E-08
-0.2910299,,0.08000003,-4.449976E-08
-0.2934017,,0.07999997,-4.543108E-08
-0.2957487,,0.08000003,-4.63624E-08
-0.2982964,,0.07999991,-4.729372E-08
-0.3008347,,0.08000009,-4.822505E-08
-0.3034377,,0.07999997,-4.915637E-08
-0.3059799,,0.07999982,-5.008769E-08
-0.3086198,,0.08,-5.101901E-08
-0.3112748,,0.07999994,-5.195034E-08
-0.3138666,,0.08,-5.288166E-08
-0.3163491,,0.07999994,-5.474431E-08
-0.3189375,,0.07999997,-5.660695E-08
-0.3221699,,0.08000003,-5.84696E-08
-0.3253896,,0.08000009,-6.033224E-08
-0.3286773,,0.08000003,-6.219489E-08
-0.3319304,,0.07999997,-6.405753E-08
-0.3348135,,0.08000003,-6.592018E-08
-0.3377565,,0.08000009,-6.778282E-08
-0.340546,,0.08000003,-6.964547E-08
-0.3434467,,0.08000009,-7.337076E-08
-0.3463587,,0.07999997,-7.709605E-08
-0.3495726,,0.07999991,-8.082134E-08
-0.3529083,,0.07999997,-8.454663E-08
-0.3561058,,0.07999991,-8.827192E-08
-0.3594951,,0.07999997,-9.199721E-08
-0.3627776,,0.08000003,-9.57225E-08
-0.366181,,0.07999997,-9.944779E-08
-0.3701689,,0.08000003,-1.031731E-07
-0.3740423,,0.07999997,-1.068984E-07
-0.3779135,,0.08000003,-1.106237E-07
-0.3822252,,0.07999997,-1.143489E-07
-0.3866301,,0.08000003,-1.180742E-07
-0.388125,,0.07999988,-1.217995E-07
-0.3896284,,0.08000006,-1.292501E-07
-0.3919832,,0.08,-1.329754E-07
-0.3944446,,0.08000006,-1.40426E-07
-0.3927807,,0.08,-1.478766E-07
-0.3910624,,0.07999985,-1.553271E-07
-0.3859856,,0.08000003,-1.627777E-07
