X,Y,Z
-0.1527385,,0.07999994,-1.552689E-08
-0.1548923,,0.08,-1.575972E-08
-0.1569622,,0.07999994,-1.599255E-08
-0.1590821,,0.08,-1.622539E-08
-0.1613244,,0.08000006,-1.669105E-08
-0.1635989,,0.08,-1.715671E-08
-0.16582,,0.07999994,-1.762237E-08
-0.1680799,,0.08,-1.808803E-08
-0.1702639,,0.07999994,-1.855369E-08
-0.1725207,,0.08,-1.901935E-08
-0.1747969,,0.08000006,-1.948501E-08
-0.1770666,,0.08,-1.995068E-08
-0.1793091,,0.08000006,-2.041634E-08
-0.1814942,,0.08,-2.0882E-08
-0.1837811,,0.08000006,-2.134766E-08
-0.1860248,,0.07999991,-2.181332E-08
-0.1883848,,0.07999997,-2.227898E-08
-0.1906682,,0.08000003,-2.274464E-08
-0.1930617,,0.07999988,-2.32103E-08
-0.1953778,,0.08000006,-2.367597E-08
-0.1976257,,0.08,-2.414163E-08
-0.1998967,,0.07999994,-2.460729E-08
-0.2023238,,0.08,-2.507295E-08
-0.2045896,,0.07999994,-2.553861E-08
-0.2068274,,0.08,-2.600427E-08
-0.209017,,0.07999994,-2.646993E-08
-0.2111955,,0.08,-2.69356E-08
-0.2133939,,0.07999994,-2.740126E-08
-0.2156711,,0.08,-2.786692E-08
-0.2179217,,0.08000006,-2.833258E-08
-0.2202504,,0.08,-2.879824E-08
-0.2226847,,0.08000006,-2.972956E-08
-0.2250188,,0.07999994,-3.066089E-08
-0.2273734,,0.08,-3.159221E-08
-0.2299901,,0.07999988,-3.252353E-08
-0.2323234,,0.07999994,-3.345485E-08
-0.2348322,,0.08,-3.438618E-08
-0.2374009,,0.08000006,-3.53175E-08
-0.2400064,,0.07999994,-3.624882E-08
-0.2426396,,0.08,-3.718014E-08
-0.2453177,,0.08000006,-3.904279E-08
-0.2479403,,0.07999994,-3.997411E-08
-0.2506405,,0.08,-4.183676E-08
-0.2532576,,0.07999994,-4.36994E-08
-0.2559879,,0.08,-4.556205E-08
-0.2586797,,0.08000006,-4.742469E-08
-0.2612903,,0.08,-4.928734E-08
-0.2639427,,0.08000006,-5.114998E-08
-0.2664739,,0.08,-5.301263E-08
-0.2690988,,0.08000006,-5.487527E-08
-0.2717386,,0.08,-5.673792E-08
-0.2744112,,0.08000006,-5.860056E-08
-0.2770958,,0.08,-6.046321E-08
-0.2800499,,0.07999994,-6.232585E-08
-0.2827697,,0.07999997,-6.605114E-08
-0.2855161,,0.07999991,-6.977643E-08
-0.2881823,,0.07999997,-7.350172E-08
-0.2909616,,0.07999991,-7.722701E-08
-0.2937632,,0.07999997,-8.09523E-08
-0.2966267,,0.07999991,-8.467759E-08
