X,Y,Z
-0.1578902,,0.08587676,-6.310074E-09
-0.1593253,,0.08557937,-6.339178E-09
-0.162346,,0.08489642,-6.397386E-09
-0.164685,,0.0843676,-6.455593E-09
-0.1667352,,0.08353963,-6.572009E-09
-0.1688682,,0.08267823,-6.688424E-09
-0.1709501,,0.08183748,-6.804839E-09
-0.1730706,,0.08098114,-6.921255E-09
-0.1751381,,0.08058479,-6.979462E-09
-0.1772743,,0.08017531,-7.03767E-09
-0.1794095,,0.08006293,-7.052222E-09
-0.1815827,,0.07999992,-7.066774E-09
-0.183732,,0.07999998,-7.081326E-09
-0.1859264,,0.07999992,-7.095878E-09
-0.187968,,0.07999998,-7.103154E-09
-0.1900556,,0.07999992,-7.11043E-09
-0.1920485,,0.07999992,-7.103154E-09
-0.19396,,0.07999992,-7.095878E-09
-0.1959863,,0.07999992,-7.088602E-09
-0.1979539,,0.07999992,-7.081326E-09
-0.2000959,,0.07999992,-7.066774E-09
-0.2021802,,0.07999992,-7.052222E-09
-0.2043581,,0.07999992,-7.023118E-09
-0.2065756,,0.07999992,-6.994014E-09
-0.2086452,,0.07999998,-7.008566E-09
-0.2107812,,0.08000004,-7.023118E-09
-0.2128329,,0.07999998,-7.052222E-09
-0.2148953,,0.07999992,-7.081326E-09
-0.2170367,,0.07999998,-7.11043E-09
-0.2191433,,0.08000004,-7.139533E-09
-0.2213636,,0.07999998,-7.197741E-09
-0.2235292,,0.08000004,-7.226845E-09
-0.2254914,,0.07999998,-7.285053E-09
-0.2273758,,0.08000004,-7.34326E-09
-0.2293971,,0.07999998,-7.401468E-09
-0.2314222,,0.07999983,-7.459676E-09
-0.2334231,,0.08000001,-7.517883E-09
-0.2354115,,0.07999995,-7.576091E-09
-0.2374847,,0.08000001,-7.605195E-09
-0.2395134,,0.08000007,-7.634299E-09
-0.2415765,,0.08000001,-7.692506E-09
-0.2435406,,0.07999995,-7.750714E-09
-0.2456195,,0.08000001,-7.808922E-09
-0.2476979,,0.07999995,-7.867129E-09
-0.2497779,,0.08000001,-7.925337E-09
-0.2519076,,0.07999995,-7.983544E-09
-0.2540948,,0.08000001,-8.09996E-09
-0.2563089,,0.08000007,-8.216375E-09
-0.2585773,,0.08000001,-8.33279E-09
-0.2607722,,0.07999995,-8.449206E-09
-0.2629464,,0.08000001,-8.682036E-09
-0.2651452,,0.07999995,-8.914867E-09
-0.2673194,,0.08000001,-9.147698E-09
-0.2695378,,0.08000007,-9.380528E-09
-0.2718273,,0.08000001,-9.613359E-09
-0.2740499,,0.07999995,-9.84619E-09
-0.2762949,,0.08000001,-1.007902E-08
-0.2786778,,0.07999995,-1.054468E-08
-0.2809241,,0.08000001,-1.077751E-08
-0.2832255,,0.07999995,-1.124317E-08
