X,Y,Z
-0.1638602,,0.08750983,5.977108E-09
-0.1659362,,0.0869455,5.9189E-09
-0.1681143,,0.08641308,5.860692E-09
-0.1701434,,0.08591708,5.802485E-09
-0.1723691,,0.08508416,5.686069E-09
-0.1745792,,0.08425706,5.569654E-09
-0.1767258,,0.08366003,5.511446E-09
-0.1788253,,0.08307611,5.453239E-09
-0.1810312,,0.08238461,5.395031E-09
-0.1831499,,0.0817204,5.336823E-09
-0.1852014,,0.08081164,5.220408E-09
-0.1872849,,0.07999992,5.103993E-09
-0.1894368,,0.07999998,4.987577E-09
-0.1916018,,0.08000004,4.871162E-09
-0.1937688,,0.07999998,4.638331E-09
-0.1959781,,0.08000004,4.405501E-09
-0.1982464,,0.07999989,4.17267E-09
-0.2004939,,0.07999986,3.93984E-09
-0.2028396,,0.07999995,3.707009E-09
-0.2051107,,0.08000001,3.474178E-09
-0.2071859,,0.07999995,3.008517E-09
-0.2092189,,0.08000001,2.542856E-09
-0.2111396,,0.07999995,2.077194E-09
-0.2130596,,0.08000001,1.611533E-09
-0.2156155,,0.08000007,1.145872E-09
-0.2181196,,0.08000001,6.802106E-10
-0.220974,,0.08000007,-2.51112E-10
-0.2234631,,0.08000001,-7.167733E-10
-0.2264628,,0.08000007,-1.648096E-09
-0.2286551,,0.08000001,-2.579418E-09
-0.2308916,,0.07999995,-3.510741E-09
-0.2330183,,0.08000001,-4.442064E-09
-0.2350572,,0.08000007,-5.373386E-09
-0.2377483,,0.08000001,-7.236031E-09
-0.2402887,,0.08000007,-9.098676E-09
-0.2428979,,0.08000001,-1.096132E-08
-0.2457003,,0.07999995,-1.282397E-08
-0.2485979,,0.08000001,-1.468661E-08
-0.2519027,,0.08000007,-1.654926E-08
-0.2552738,,0.07999989,-1.84119E-08
-0.2581651,,0.07999995,-2.027455E-08
-0.2613637,,0.08000001,-2.213719E-08
-0.2640999,,0.08000007,-2.399984E-08
-0.2670858,,0.08000001,-2.772513E-08
-0.2701402,,0.07999995,-3.145042E-08
-0.2726604,,0.08000001,-3.517571E-08
-0.2752629,,0.08000007,-3.8901E-08
-0.277885,,0.08000001,-4.262629E-08
-0.281011,,0.07999986,-4.635158E-08
-0.2839501,,0.08000004,-5.007687E-08
-0.2874007,,0.07999998,-5.380216E-08
-0.2906924,,0.08000004,-5.752745E-08
-0.2944144,,0.07999989,-6.125274E-08
-0.2980652,,0.07999992,-6.497803E-08
-0.3017181,,0.07999998,-6.870332E-08
-0.3054706,,0.07999983,-7.242861E-08
-0.3090245,,0.08000001,-7.61539E-08
-0.3128013,,0.07999995,-8.360448E-08
-0.3162233,,0.07999992,-8.732977E-08
-0.3195868,,0.07999998,-9.105506E-08
