X,Y,Z
-0.2546108,,0.09083211,-2.456363E-08
-0.2567177,,0.09044295,-2.462184E-08
-0.2588893,,0.08971675,-2.468005E-08
-0.2610011,,0.08901059,-2.473826E-08
-0.263062,,0.08890354,-2.475281E-08
-0.2651112,,0.08879708,-2.476736E-08
-0.2672555,,0.08879708,-2.470915E-08
-0.2693912,,0.08879708,-2.465094E-08
-0.2715617,,0.08879708,-2.459274E-08
-0.2737196,,0.08879708,-2.453453E-08
-0.2756475,,0.08824628,-2.459274E-08
-0.2776184,,0.08768316,-2.465094E-08
-0.2795951,,0.085559,-2.488378E-08
-0.28156,,0.08344763,-2.511661E-08
-0.2835389,,0.08132111,-2.534944E-08
-0.2855557,,0.07999998,-2.558227E-08
-0.2878314,,0.07999992,-2.604793E-08
-0.2901916,,0.0800001,-2.651359E-08
-0.2923851,,0.08000004,-2.697925E-08
-0.2946537,,0.07999998,-2.744491E-08
-0.297303,,0.07999995,-2.837623E-08
-0.299841,,0.08000001,-2.930756E-08
-0.3025959,,0.07999995,-3.023888E-08
-0.3053197,,0.07999989,-3.11702E-08
-0.3080091,,0.08000007,-3.210152E-08
-0.310748,,0.07999992,-3.303285E-08
-0.3133939,,0.0800001,-3.489549E-08
-0.3160132,,0.08000004,-3.675814E-08
-0.3187268,,0.07999998,-3.862078E-08
-0.3214393,,0.07999992,-4.048343E-08
-0.3248853,,0.07999998,-4.234607E-08
-0.3281869,,0.08000004,-4.420872E-08
-0.331602,,0.0800001,-4.607136E-08
-0.3349533,,0.08000004,-4.793401E-08
-0.3385974,,0.07999998,-5.16593E-08
-0.3422358,,0.08000004,-5.538459E-08
-0.3458553,,0.0800001,-5.910988E-08
-0.3494512,,0.08000004,-6.283517E-08
-0.3529733,,0.0800001,-6.656046E-08
-0.3566286,,0.08000004,-7.028575E-08
-0.3614123,,0.07999998,-7.401104E-08
-0.3662552,,0.07999983,-7.773633E-08
-0.3703408,,0.08000001,-8.146162E-08
-0.374557,,0.07999986,-8.518691E-08
-0.3787412,,0.08000004,-8.89122E-08
-0.3829569,,0.07999998,-9.263749E-08
-0.3859933,,0.08000004,-1.000881E-07
-0.390523,,0.07999998,-1.075387E-07
-0.3915929,,0.07999992,-1.112639E-07
-0.394098,,0.07999998,-1.187145E-07
-0.3994994,,0.08000004,-1.261651E-07
-0.4047579,,0.07999998,-1.336157E-07
-0.4047579,,0.08000004,-1.336157E-07
-0.4047579,,0.07999998,-1.336157E-07
-0.4094319,,0.08000004,-1.410663E-07
-0.4138712,,0.07999998,-1.485168E-07
-0.4196357,,0.08000004,-1.559674E-07
-0.4254973,,0.07999998,-1.63418E-07
-0.4302145,,0.08000004,-1.708686E-07
-0.4350814,,0.07999998,-1.783192E-07
