X,Y,Z
-0.2425615,,0.08,-1.213266E-08
-0.2447455,,0.07999985,-1.259832E-08
-0.2468756,,0.08000003,-1.306398E-08
-0.2489504,,0.07999997,-1.352964E-08
-0.2509778,,0.08000003,-1.376247E-08
-0.2529489,,0.07999997,-1.39953E-08
-0.2554372,,0.07999991,-1.446097E-08
-0.2573758,,0.07999997,-1.46938E-08
-0.2595645,,0.07999994,-1.492663E-08
-0.2616266,,0.07999988,-1.515946E-08
-0.263691,,0.07999994,-1.539229E-08
-0.265776,,0.07999988,-1.562512E-08
-0.2678107,,0.07999994,-1.585795E-08
-0.2698735,,0.08,-1.609078E-08
-0.2719517,,0.07999994,-1.655644E-08
-0.2740136,,0.08,-1.678927E-08
-0.2760354,,0.08000006,-1.70221E-08
-0.2782957,,0.08,-1.748776E-08
-0.2805098,,0.08000006,-1.795343E-08
-0.2825539,,0.08,-1.818626E-08
-0.2847356,,0.08000006,-1.865192E-08
-0.2868732,,0.08,-1.911758E-08
-0.288983,,0.07999994,-1.958324E-08
-0.2912114,,0.08,-2.00489E-08
-0.2934037,,0.08000006,-2.051456E-08
-0.2956711,,0.08,-2.098022E-08
-0.2979133,,0.07999997,-2.144589E-08
-0.3001439,,0.08000003,-2.237721E-08
-0.3023772,,0.07999991,-2.330853E-08
-0.3045524,,0.07999997,-2.423985E-08
-0.3067349,,0.08000003,-2.517118E-08
-0.3091557,,0.08000009,-2.61025E-08
-0.3115486,,0.07999994,-2.703382E-08
-0.313928,,0.08,-2.796514E-08
-0.3163501,,0.08000006,-2.889647E-08
-0.3187025,,0.07999994,-2.982779E-08
-0.3210483,,0.08,-3.075911E-08
-0.3235333,,0.07999997,-3.169043E-08
-0.3261016,,0.08000003,-3.262176E-08
-0.3289157,,0.07999997,-3.44844E-08
-0.3316069,,0.07999991,-3.634705E-08
-0.3340665,,0.07999997,-3.820969E-08
-0.3364736,,0.08000003,-4.007234E-08
-0.338901,,0.07999997,-4.193498E-08
-0.3416936,,0.08000003,-4.379763E-08
-0.3444836,,0.07999997,-4.566027E-08
-0.3480511,,0.07999991,-4.752292E-08
-0.351642,,0.07999997,-4.938556E-08
-0.3547172,,0.07999994,-5.311085E-08
-0.3579366,,0.07999991,-5.683614E-08
-0.3611343,,0.08,-6.056143E-08
-0.3647619,,0.07999994,-6.428672E-08
-0.3681903,,0.08,-6.801201E-08
-0.3720171,,0.07999985,-7.17373E-08
-0.3757923,,0.08000003,-7.546259E-08
-0.3805163,,0.07999997,-7.918788E-08
-0.3852144,,0.08000003,-8.291317E-08
-0.388805,,0.07999997,-9.036376E-08
-0.3923365,,0.08000003,-9.408905E-08
-0.3959467,,0.07999991,-1.015396E-07
