X,Y,Z
-0.1463753,,0.08027598,-3.51065E-09
-0.1483652,,0.07999995,-3.568857E-09
-0.1503624,,0.08000001,-3.627065E-09
-0.152407,,0.07999995,-3.685273E-09
-0.154432,,0.08000001,-3.74348E-09
-0.1563941,,0.07999995,-3.801688E-09
-0.1585594,,0.07999989,-3.859896E-09
-0.1607423,,0.08000007,-3.918103E-09
-0.1626838,,0.08000001,-3.976311E-09
-0.1646896,,0.07999998,-4.034518E-09
-0.1666692,,0.08000004,-4.092726E-09
-0.1686341,,0.07999998,-4.150934E-09
-0.1707163,,0.08000004,-4.209141E-09
-0.1728366,,0.07999998,-4.267349E-09
-0.1748334,,0.08000004,-4.296453E-09
-0.1769111,,0.07999998,-4.325557E-09
-0.1789476,,0.08000004,-4.354661E-09
-0.1810277,,0.07999998,-4.383764E-09
-0.1829066,,0.07999992,-4.39104E-09
-0.1848394,,0.07999998,-4.398316E-09
-0.1868237,,0.07999998,-4.39104E-09
-0.1888709,,0.07999998,-4.383764E-09
-0.1908939,,0.07999998,-4.354661E-09
-0.1929287,,0.07999998,-4.325557E-09
-0.1948599,,0.07999998,-4.296453E-09
-0.1968628,,0.07999998,-4.267349E-09
-0.1988041,,0.07999998,-4.209141E-09
-0.2007715,,0.07999998,-4.150934E-09
-0.2027548,,0.07999998,-4.034518E-09
-0.2047972,,0.07999998,-3.918103E-09
-0.2068829,,0.08000004,-3.932655E-09
-0.2090379,,0.07999998,-3.947207E-09
-0.2108159,,0.08492722,-3.481546E-09
-0.2125201,,0.08965002,-3.015884E-09
-0.214166,,0.09414085,-2.550223E-09
-0.2157698,,0.09851671,-2.084562E-09
-0.2176973,,0.1010182,-1.851731E-09
-0.2195454,,0.1034169,-1.618901E-09
-0.2218872,,0.1044283,-1.502485E-09
-0.2241833,,0.1044283,-1.38607E-09
-0.2266568,,0.1044283,-1.327862E-09
-0.229127,,0.1044283,-1.269655E-09
-0.23098,,0.1005684,-1.735316E-09
-0.2328794,,0.09661188,-2.200977E-09
-0.2350377,,0.09221648,-2.666638E-09
-0.2372643,,0.08768176,-3.1323E-09
-0.2397145,,0.08256524,-3.597961E-09
-0.242056,,0.07999995,-4.063622E-09
-0.2446885,,0.08000001,-4.994945E-09
-0.247272,,0.07999986,-5.926267E-09
-0.250667,,0.08000004,-6.85759E-09
-0.2540569,,0.0800001,-7.788913E-09
-0.2557482,,0.08000004,-8.720235E-09
-0.2574776,,0.07999998,-9.651558E-09
-0.2609278,,0.07999995,-1.15142E-08
-0.2644621,,0.07999989,-1.337685E-08
-0.2686042,,0.08000007,-1.523949E-08
-0.272532,,0.08000001,-1.710214E-08
-0.2781248,,0.07999995,-1.896478E-08
-0.2838871,,0.07999992,-2.082743E-08
