X,Y,Z
-0.1529342,,0.09443284,8.279948E-09
-0.1549594,,0.09443284,8.338156E-09
-0.1568707,,0.09443284,8.454571E-09
-0.158817,,0.09443284,8.570987E-09
-0.1609187,,0.09443284,8.574625E-09
-0.1630503,,0.09443284,8.578263E-09
-0.1651845,,0.09415273,8.549159E-09
-0.1673487,,0.09386868,8.520055E-09
-0.1694615,,0.09341056,8.461847E-09
-0.1715223,,0.09296373,8.40364E-09
-0.1737021,,0.0921346,8.287224E-09
-0.1758599,,0.09131382,8.170809E-09
-0.1780263,,0.09005926,8.054394E-09
-0.1801209,,0.08884621,7.937978E-09
-0.1819553,,0.0872632,7.705148E-09
-0.1837148,,0.08574478,7.472317E-09
-0.1857678,,0.08390758,7.239486E-09
-0.1879781,,0.08192954,7.006656E-09
-0.19007,,0.0799999,6.773825E-09
-0.1921728,,0.08000002,6.540994E-09
-0.1942674,,0.07999996,6.308164E-09
-0.1963287,,0.0799999,6.075333E-09
-0.1985394,,0.07999996,5.609672E-09
-0.2007565,,0.0799999,5.144011E-09
-0.2029199,,0.07999996,4.678349E-09
-0.205118,,0.08000002,4.212688E-09
-0.2074801,,0.07999996,3.747027E-09
-0.2099083,,0.08000002,3.281365E-09
-0.2122052,,0.08000008,2.815704E-09
-0.2144561,,0.0799999,2.350043E-09
-0.2166971,,0.07999996,1.41872E-09
-0.2189026,,0.08000002,4.873977E-10
-0.221287,,0.08000008,-4.439249E-10
-0.2236197,,0.08000002,-1.375247E-09
-0.226033,,0.07999987,-2.30657E-09
-0.2285046,,0.07999993,-3.237893E-09
-0.2310378,,0.07999999,-4.169215E-09
-0.2335201,,0.07999993,-5.100538E-09
-0.2361855,,0.07999999,-6.03186E-09
-0.2388358,,0.08000005,-6.963183E-09
-0.2410871,,0.07999999,-8.825828E-09
-0.2433536,,0.07999993,-1.068847E-08
-0.2458788,,0.07999999,-1.255112E-08
-0.2483798,,0.07999993,-1.441376E-08
-0.2514071,,0.07999999,-1.627641E-08
-0.2549189,,0.07999993,-1.813905E-08
-0.2576538,,0.07999999,-2.00017E-08
-0.2607464,,0.07999993,-2.186435E-08
-0.2638488,,0.0799999,-2.372699E-08
-0.2667025,,0.07999996,-2.745228E-08
-0.2696408,,0.08000002,-3.117757E-08
-0.2729657,,0.07999996,-3.490286E-08
-0.2762611,,0.07999981,-3.862815E-08
-0.2796222,,0.07999999,-4.235344E-08
-0.2826177,,0.08000005,-4.607873E-08
-0.2857219,,0.07999999,-4.980402E-08
-0.288751,,0.08000005,-5.352931E-08
-0.2919326,,0.0799999,-5.72546E-08
-0.2949661,,0.07999996,-6.097989E-08
-0.298041,,0.08000002,-6.470518E-08
